method,n_windows,mae_bpm,rmse_bpm,pearson_r,bias,loa_lower,loa_upper,within_5_bpm_pct,n_reference_rpeaks,n_estimated_rpeaks,rpeak_tp,rpeak_fp,rpeak_fn,rpeak_precision,rpeak_recall,rpeak_f1,rpeak_mean_abs_timing_error_ms,n_ibi_matched,ibi_error_mean_ms,ibi_error_mae_ms,ibi_error_rmse_ms,ibi_error_sd_ms
Only-XQRS,10608,3.5315989613712824,9.369600936230212,0.9333119232113568,3.396452965599739,-13.719714071213268,20.512620002412746,85.47322775263952,48534,49644,46376,3268,2158,0.9341712996535332,0.95553632505048,0.9447330359143596,8.971623253406934,45278,-0.04187464110605592,10.596492777949557,16.574870663724905,16.587628867131055
Only-PT,10608,5.77101720512183,10.810229650601862,0.9053526101521225,-3.15375216406395,-23.421042299416747,17.11353797128885,69.09879336349924,48534,45882,42252,3630,6282,0.9208840068000523,0.8705649647669675,0.8950177935943061,8.36263372148064,38129,-0.24034199690524272,13.47016706443914,23.248754609890398,23.256713570149067
Only-WT,10608,11.372067748151753,16.450369473668296,0.7383190226547189,-1.4022947576790374,-33.52917322373626,30.724583708378184,39.969834087481146,48534,45243,34378,10865,14156,0.7598523528501646,0.7083281823051881,0.7331861757147274,10.121298504857759,27184,-0.934152442613302,13.96799587992937,23.92811466336247,23.889201742082605
Majority-2of3,10608,6.0446389918953045,11.838474080013157,0.8783943462960908,0.9278391281404107,-22.205285775131276,24.060964031412094,70.10746606334841,48534,47143,42824,4319,5710,0.9083851261056785,0.8823505171632258,0.8951785695621728,7.5453016999813185,39043,-0.3419306918013472,12.163358348487565,20.945137772255,20.952435377494822
Union-NMS,10608,63.067854717306425,79.56461882470632,0.45396610851149427,63.059355550222264,-32.04141541772924,158.16012651817377,19.65497737556561,48534,61024,47455,13569,1079,0.77764486103828,0.97776816252524,0.866299129228354,7.123885786534612,46583,-0.11575038104029367,11.982654616490995,19.904550216944987,19.917474912421216
