bias,loa_lower,loa_upper,mae_bpm,method,n_windows,omega_size,pearson_r,rmse_bpm,sd_diff,within_5_bpm_pct
-1.0562172565523154,-19.773584680058615,17.661150166953984,2.493564018310662,ARTA-Omega3,10605,3,0.9221071534268304,9.607462268061719,9.54967725689097,92.13578500707213
0.12545218441636072,-9.011008092846984,9.261912461679705,1.5578575400435744,ARTA-Omega5,10606,5,0.9815799339263613,4.662927463012931,4.661459325134359,93.60739204224025
0.15743330571194225,-9.297485835855696,9.61235244727958,1.5881615699337897,ARTA-Omega7,10606,7,0.9802504199864854,4.826279338480396,4.823938337534509,93.3151046577409
0.13865258858695292,-8.908159257688524,9.185464434862428,1.5342921926551285,ARTA-Omega9,10606,9,0.9819584397326482,4.617584860711272,4.615720329732386,93.60739204224025
