bias,loa_lower,loa_upper,mae_bpm,method,n_windows,pearson_r,rmse_bpm,sd_diff,target_snr_db,within_5_bpm_pct
0.28203784718232994,-16.956916962841877,17.520992657206538,3.8935022397278662,ARTA,1768,0.9335870959847312,8.797419482637924,8.795385107155209,-2.0,82.74886877828054
-0.07185839581233198,-9.803733008546722,9.66001621692206,2.0608898048422466,ARTA,1767,0.9794951118474912,4.964357055913004,4.965242149354281,0.0,90.09620826259196
0.2025136472952312,-7.923514770307231,8.328542064897693,1.3147945835579575,ARTA,1768,0.985436350461087,4.1497046833242255,4.145932866123705,2.0,94.73981900452489
0.07041131533109225,-4.12361166024835,4.2644342909105335,0.8505551653210394,ARTA,1768,0.9961557934471253,2.140360877575691,2.139807640601756,4.0,97.39819004524887
0.13180852435575613,-4.238547417775799,4.502164466487312,0.7086498690110246,ARTA,1767,0.9957710048360835,2.2330359007366685,2.2297734398630387,6.0,98.07583474816073
0.13769216235406798,-2.3449352585651937,2.6203195832733295,0.5185577772321744,ARTA,1768,0.9986508376865697,1.2737524830642637,1.2666466433261538,12.0,98.58597285067874
-6.521681559031905,-38.1505566734267,25.107193555362887,11.974163031685945,Pan-Tompkins,1768,0.7584764599653704,17.400967124800438,16.13718118081367,-2.0,37.89592760180995
-4.615698671988232,-27.344779907501803,18.11338256352534,7.896440773528086,Pan-Tompkins,1768,0.8789356775570727,12.478250231039084,11.59647001811917,0.0,54.75113122171946
-3.240429442392755,-23.062009965432043,16.58115108064653,5.954628922820631,Pan-Tompkins,1768,0.9095807694743858,10.616795285510873,10.113051287264943,2.0,68.60859728506787
-1.9374282716086548,-16.835867504982346,12.961010961765036,3.8876794582038983,Pan-Tompkins,1768,0.9498498207170132,7.842185025656192,7.601244506823312,4.0,79.07239819004525
-1.377962341135983,-13.52111226605687,10.765187583784902,3.0292141297284294,Pan-Tompkins,1768,0.9673614069953096,6.345163505122702,6.195484655571881,6.0,84.10633484162896
-1.2293126982261693,-11.355626621198997,8.89700122474666,1.88397691476399,Pan-Tompkins,1768,0.9771601329771283,5.309302860817434,5.1664866953943,12.0,90.15837104072398
9.52572992160849,-36.575644214209206,55.62710405742618,12.141045484068167,WFDB-GQRS,1768,0.3576190061349668,25.3706363936324,23.521109252968213,-2.0,64.25339366515837
9.227866906386156,-34.41822122279668,52.87395503556899,10.482021508713114,WFDB-GQRS,1768,0.44249318767375206,24.098863834962803,22.26841231080757,0.0,72.62443438914026
8.093494488642765,-34.422596046418306,50.60958502370383,8.928459741411165,WFDB-GQRS,1768,0.4871430836302622,23.146842044524757,21.691882926051566,2.0,80.20361990950227
7.87908053506014,-33.98856584556414,49.74672691568442,8.605523208687208,WFDB-GQRS,1768,0.5055734121494834,22.762162220583622,21.36104407174708,4.0,82.35294117647058
7.713471628422111,-33.39670467032215,48.82364792716638,8.174169510198395,WFDB-GQRS,1768,0.526410132766167,22.34237698032378,20.974579744257277,6.0,84.38914027149322
7.942265700430892,-35.372093419770536,51.256624820632325,8.261432548453906,WFDB-GQRS,1768,0.47273164992536937,23.477145324176135,22.099162816429303,12.0,85.63348416289593
9.055543239300068,-19.09479612770281,37.20588260630295,9.177323893723985,WFDB-XQRS,1768,0.8067948178307542,16.975430532644477,14.362418044389225,-2.0,63.06561085972851
4.631652413450215,-13.371613428824343,22.634918255724774,4.759262365453384,WFDB-XQRS,1768,0.9259021924826103,10.284694886847102,9.185339715446203,0.0,78.61990950226244
3.4780807538269873,-12.242321709442058,19.198483217096033,3.6194553936229035,WFDB-XQRS,1768,0.9441776556988525,8.740188830362444,8.02061350166788,2.0,83.54072398190046
1.7012513967660756,-8.12771015723088,11.53021295076303,1.8541010170500742,WFDB-XQRS,1768,0.9784916033531328,5.294149007476498,5.014776303059671,4.0,92.59049773755656
1.1722338706659516,-8.81385603321577,11.158323774547673,1.313549796920017,WFDB-XQRS,1768,0.9777871769914243,5.2266530859163085,5.094943828511083,6.0,95.70135746606336
0.33995611958913674,-1.5648640145380535,2.244776253716327,0.4659013014573317,WFDB-XQRS,1768,0.9992004532190661,1.0293311210605998,0.9718470072077501,12.0,99.3212669683258
-2.872498400071088,-44.09944162264628,38.35444482250411,16.495537438543675,Wavelet,1768,0.5109344933410429,21.223493228319814,21.03415470539551,-2.0,20.984162895927604
-2.0703406182888946,-37.22723629878921,33.08655506221142,13.691062676960527,Wavelet,1768,0.6753278806594057,18.05123746917154,17.937191673724648,0.0,28.167420814479637
-0.9456177038304946,-33.44338580948263,31.552150401821642,11.987711256985211,Wavelet,1768,0.7316488790382386,16.602755138817553,16.58049393145517,2.0,34.44570135746606
-1.3403839094067052,-31.575614390537915,28.894846571724507,11.146525223330675,Wavelet,1768,0.7735480979110365,15.479914942733764,15.426138000577149,4.0,38.46153846153847
0.05668558578145989,-31.171463743659036,31.284834915221953,10.144265925722424,Wavelet,1768,0.7562904686767825,15.928323616464029,15.932729249714539,6.0,46.54977375565611
-1.2416135002585018,-18.43107698042876,15.947849979911755,4.76730396736801,Wavelet,1768,0.9338818762005654,8.855131725480797,8.770134428658295,12.0,71.210407239819
2.2299790360808913,-28.754090730460778,33.21404880262256,9.22965584836934,Tiramisu,1768,0.7658395066680606,15.960282329585926,15.808198860480443,-2.0,55.203619909502265
2.605216388788698,-28.247668789758194,33.45810156733559,7.999939650971426,Tiramisu,1768,0.7658722021275831,15.951003659341955,15.74126794823821,0.0,63.51809954751131
2.0666060771338,-24.55533619964779,28.688548353915394,6.192809182594265,Tiramisu,1768,0.8352769892772763,13.735143850685539,13.582623610602854,2.0,71.210407239819
1.8726212428166316,-21.906077554112258,25.65132003974552,5.151298885431764,Tiramisu,1768,0.8716120888450669,12.272270462634674,12.131989182106576,4.0,75.4524886877828
1.6922716425554785,-19.26421894180256,22.64876222691352,4.014289433060728,Tiramisu,1768,0.9021380442126894,10.822192355817414,10.692087032835735,6.0,81.05203619909503
1.1948545594021207,-12.707057015067972,15.096766133872213,2.1313314351560844,Tiramisu,1768,0.9593051008750167,7.190772221290805,7.092812027790864,12.0,90.78054298642535
-16.990747116154356,-57.75341989826853,23.771925665959824,21.38028747914102,Aygun et al.,1631,0.5198361231576007,26.85046063318023,20.79728203169091,-2.0,15.389331698344574
-13.783371753290966,-48.26884546771381,20.70210196113188,18.243467735850682,Aygun et al.,1757,0.6776699529713709,22.34672524783022,17.594629446134103,0.0,17.47296528173022
-13.423724332333723,-45.99340205307837,19.14595338841092,16.322850016169337,Aygun et al.,1716,0.71391683045393,21.35804799560097,16.617182510584,2.0,23.310023310023308
-11.249958903721401,-38.23970133738295,15.739783529940146,13.668470744541713,Aygun et al.,1750,0.819670616787986,17.778462885597325,13.770276751868137,4.0,26.8
-9.626740291647241,-34.581645968552664,15.328165385258185,11.773306268372687,Aygun et al.,1768,0.8571083767695051,15.958968509529758,12.732094733115014,6.0,35.69004524886878
-6.491865235755886,-27.13211458523466,14.14838411372289,8.316656276651099,Aygun et al.,1768,0.903098442225204,12.368430120612409,10.530739464019783,12.0,50.16968325791855
